Time (sx10E-1),Position,Force
80,-0.002429399,0
80.1,-0.001920048,0
80.2,-0.001440912,0
80.3,-0.00099367,0
80.4,-0.000579541,0
80.5,-0.000199312,0
80.6,0.00014663,0
80.7,0.000458256,0
80.8,0.00073587,0
80.9,0.000980069,0
81,0.00119171,0
81.1,0.00137188,0
81.2,0.00152186,0
81.3,0.001643097,0
81.4,0.001737174,0
81.5,0.00180578,0
81.6,0.001850688,0
81.7,0.001873725,0
81.8,0.001876754,0
81.9,0.001861651,0
82,0.001830283,0
82.1,0.001784497,0
82.2,0.001726101,0
82.3,0.001656849,0
82.4,0.001578434,0
82.5,0.001492473,0
82.6,0.001400501,0
82.7,0.001303965,0
82.8,0.001204217,0
82.9,0.001102511,0
83,0.001000001,0
83.1,0.000897738,0
83.2,0.00079667,0
83.3,0.000697645,0
83.4,0.00060141,0
83.5,0.000508615,0
83.6,0.000419814,0
83.7,0.000335472,0
83.8,0.000255966,0
83.9,0.000181593,0
84,0.000112571,0
84.1,4.90E-05,0
84.2,-8.90E-06,0
84.3,-6.12E-05,0
84.4,-0.000108029,0
84.5,-0.000149333,0
84.6,-0.000185287,0
84.7,-0.000216057,0
84.8,-0.000241844,0
84.9,-0.000262879,0
85,-0.000279411,0
85.1,-0.000291714,0
85.2,-0.000300073,0
85.3,-0.000304782,0
85.4,-0.000306146,0
85.5,-0.000304469,0
85.6,-0.000300056,0
85.7,-0.000293211,0
85.8,-0.000284229,0
85.9,-0.000273399,0
86,-0.000261,0
86.1,-0.000247299,0
86.2,-0.000232551,0
86.3,-0.000216995,0
86.4,-0.000200856,0
86.5,-0.000184343,0
86.6,-0.000167649,0
86.7,-0.000150949,0
86.8,-0.000134404,0
86.9,-0.000118155,0
87,-0.000102328,0
87.1,-8.70E-05,0
87.2,-7.24E-05,0
87.3,-5.84E-05,0
87.4,-4.52E-05,0
87.5,-3.29E-05,0
87.6,-2.14E-05,0
87.7,-1.08E-05,0
87.8,-1.07E-06,0
87.9,7.72E-06,0
88,1.56E-05,0
88.1,2.26E-05,0
88.2,2.87E-05,0
88.3,3.39E-05,0
88.4,3.83E-05,0
88.5,4.20E-05,0
88.6,4.49E-05,0
88.7,4.71E-05,0
88.8,4.86E-05,0
88.9,4.95E-05,0
89,4.99E-05,0
89.1,4.98E-05,0
89.2,4.92E-05,0
89.3,4.81E-05,0
89.4,4.68E-05,0
89.5,4.51E-05,0
89.6,4.31E-05,0
89.7,4.10E-05,0
89.8,3.86E-05,0
89.9,3.61E-05,0
90,3.35E-05,0
90.1,3.08E-05,0
90.2,2.81E-05,0
90.3,2.54E-05,0
90.4,2.27E-05,0
90.5,2.00E-05,0
90.6,1.74E-05,0
90.7,1.49E-05,0
90.8,1.24E-05,0
90.9,1.01E-05,0
91,7.95E-06,0
91.1,5.90E-06,0
91.2,3.99E-06,0
91.3,2.22E-06,0
91.4,5.95E-07,0
91.5,-8.78E-07,0
91.6,-2.20E-06,0
91.7,-3.38E-06,0
91.8,-4.41E-06,0
91.9,-5.31E-06,0
92,-6.07E-06,0
92.1,-6.69E-06,0
92.2,-7.20E-06,0
92.3,-7.59E-06,0
92.4,-7.87E-06,0
92.5,-8.04E-06,0
92.6,-8.13E-06,0
92.7,-8.13E-06,0
92.8,-8.05E-06,0
92.9,-7.90E-06,0
93,-7.69E-06,0
93.1,-7.43E-06,0
93.2,-7.12E-06,0
93.3,-6.78E-06,0
93.4,-6.40E-06,0
93.5,-6.00E-06,0
93.6,-5.58E-06,0
93.7,-5.14E-06,0
93.8,-4.70E-06,0
93.9,-4.26E-06,0
94,-3.81E-06,0
94.1,-3.38E-06,0
94.2,-2.95E-06,0
94.3,-2.54E-06,0
94.4,-2.14E-06,0
94.5,-1.75E-06,0
94.6,-1.39E-06,0
94.7,-1.05E-06,0
94.8,-7.34E-07,0
94.9,-4.39E-07,0
95,-1.68E-07,0
95.1,7.93E-08,0
95.2,3.02E-07,0
95.3,5.01E-07,0
95.4,6.76E-07,0
95.5,8.27E-07,0
95.6,9.57E-07,0
95.7,1.07E-06,0
95.8,1.15E-06,0
95.9,1.22E-06,0
96,1.27E-06,0
96.1,1.30E-06,0
96.2,1.32E-06,0
96.3,1.33E-06,0
96.4,1.32E-06,0
96.5,1.30E-06,0
96.6,1.26E-06,0
96.7,1.22E-06,0
96.8,1.18E-06,0
96.9,1.12E-06,0
97,1.06E-06,0
97.1,9.96E-07,0
97.2,9.28E-07,0
97.3,8.58E-07,0
97.4,7.86E-07,0
97.5,7.14E-07,0
97.6,6.42E-07,0
97.7,5.70E-07,0
97.8,5.00E-07,0
97.9,4.32E-07,0
98,3.66E-07,0
98.1,3.03E-07,0
98.2,2.43E-07,0
98.3,1.87E-07,0
98.4,1.34E-07,0
98.5,8.44E-08,0
98.6,3.91E-08,0
98.7,-2.22E-09,0
98.8,-3.96E-08,0
98.9,-7.31E-08,0
99,-1.03E-07,0
99.1,-1.28E-07,0
99.2,-1.51E-07,0
99.3,-1.69E-07,0
99.4,-1.84E-07,0
99.5,-1.96E-07,0
99.6,-2.05E-07,0
99.7,-2.12E-07,0
99.8,-2.15E-07,0
99.9,-2.16E-07,0
100,-2.15E-07,0
100.1,-2.12E-07,0
100.2,-2.08E-07,0
100.3,-2.02E-07,0
100.4,-1.94E-07,0
100.5,-1.85E-07,0
100.6,-1.76E-07,0
100.7,-1.65E-07,0
100.8,-1.54E-07,0
100.9,-1.43E-07,0
101,-1.31E-07,0
101.1,-1.20E-07,0
101.2,-1.08E-07,0
101.3,-9.62E-08,0
101.4,-8.47E-08,0
101.5,-7.34E-08,0
101.6,-6.26E-08,0
101.7,-5.22E-08,0
101.8,-4.23E-08,0
101.9,-3.29E-08,0
102,-2.41E-08,0
102.1,-1.59E-08,0
102.2,-8.35E-09,0
102.3,-1.43E-09,0
102.4,4.84E-09,0
102.5,1.05E-08,0
102.6,1.55E-08,0
102.7,1.98E-08,0
102.8,2.36E-08,0
102.9,2.68E-08,0
103,2.94E-08,0
103.1,3.15E-08,0
103.2,3.31E-08,0
103.3,3.42E-08,0
103.4,3.49E-08,0
103.5,3.52E-08,0
103.6,3.52E-08,0
103.7,3.48E-08,0
103.8,3.41E-08,0
103.9,3.32E-08,0
104,3.20E-08,0
104.1,3.06E-08,0
104.2,2.91E-08,0
104.3,2.74E-08,0
104.4,2.57E-08,0
104.5,2.38E-08,0
104.6,2.20E-08,0
104.7,2.00E-08,0
104.8,1.81E-08,0
104.9,1.62E-08,0
105,1.43E-08,0
105.1,1.25E-08,0
105.2,1.07E-08,0
105.3,8.97E-09,0
105.4,7.33E-09,0
105.5,5.78E-09,0
105.6,4.32E-09,0
105.7,2.95E-09,0
105.8,1.69E-09,0
105.9,5.35E-10,0
106,-5.17E-10,0
106.1,-1.46E-09,0
106.2,-2.31E-09,0
106.3,-3.05E-09,0
106.4,-3.69E-09,0
106.5,-4.23E-09,0
106.6,-4.69E-09,0
106.7,-5.05E-09,0
106.8,-5.34E-09,0
106.9,-5.54E-09,0
107,-5.67E-09,0
107.1,-5.74E-09,0
107.2,-5.74E-09,0
107.3,-5.69E-09,0
107.4,-5.60E-09,0
107.5,-5.45E-09,0
107.6,-5.27E-09,0
107.7,-5.06E-09,0
107.8,-4.82E-09,0
107.9,-4.55E-09,0
108,-4.27E-09,0
108.1,-3.97E-09,0
108.2,-3.67E-09,0
108.3,-3.35E-09,0
108.4,-3.04E-09,0
108.5,-2.73E-09,0
108.6,-2.42E-09,0
108.7,-2.12E-09,0
108.8,-1.82E-09,0
108.9,-1.54E-09,0
109,-1.27E-09,0
109.1,-1.01E-09,0
109.2,-7.68E-10,0
109.3,-5.41E-10,0
109.4,-3.31E-10,0
109.5,-1.38E-10,0
109.6,3.87E-11,0
109.7,1.98E-10,0
109.8,3.40E-10,0
109.9,4.65E-10,0
110,5.74E-10,0
